date,state,cases,deaths,DailyCases,
2020-03-04,New Jersey,1,0,0,0
2020-03-05,New Jersey,2,0,1,0
2020-03-06,New Jersey,4,0,2,0
2020-03-07,New Jersey,4,0,0,0
2020-03-08,New Jersey,6,0,2,0
2020-03-09,New Jersey,11,0,5,0
2020-03-10,New Jersey,15,1,4,1
2020-03-11,New Jersey,23,1,8,0
2020-03-12,New Jersey,29,1,6,0
2020-03-13,New Jersey,50,1,21,0
2020-03-14,New Jersey,75,2,25,1
2020-03-15,New Jersey,98,2,23,0
2020-03-16,New Jersey,176,3,78,1
2020-03-17,New Jersey,268,3,92,0
2020-03-18,New Jersey,427,5,159,2
2020-03-19,New Jersey,735,9,308,4
2020-03-20,New Jersey,896,11,161,2
2020-03-21,New Jersey,1336,16,440,5
2020-03-22,New Jersey,1914,20,578,4
2020-03-23,New Jersey,2844,27,930,7
2020-03-24,New Jersey,3675,44,831,17
2020-03-25,New Jersey,4402,62,727,18
2020-03-26,New Jersey,6876,82,2474,20
2020-03-27,New Jersey,8825,108,1949,26
2020-03-28,New Jersey,11124,140,2299,32
2020-03-29,New Jersey,13386,161,2262,21
2020-03-30,New Jersey,16636,199,3250,38
2020-03-31,New Jersey,18696,267,2060,68
2020-04-01,New Jersey,22255,355,3559,88
2020-04-02,New Jersey,25590,539,3335,184
2020-04-03,New Jersey,29895,647,4305,108
2020-04-04,New Jersey,34124,847,4229,200
2020-04-05,New Jersey,37505,917,3381,70
2020-04-06,New Jersey,41090,1005,3585,88
2020-04-07,New Jersey,44416,1232,3326,227
2020-04-08,New Jersey,47437,1504,3021,272
2020-04-09,New Jersey,51027,1700,3590,196
2020-04-10,New Jersey,54588,1932,3561,232
2020-04-11,New Jersey,58151,2183,3563,251
2020-04-12,New Jersey,61850,2350,3699,167
2020-04-13,New Jersey,64584,2443,2734,93
2020-04-14,New Jersey,68824,2805,4240,362
2020-04-15,New Jersey,71030,3156,2206,351
2020-04-16,New Jersey,75317,3518,4287,362
2020-04-17,New Jersey,78467,3840,3150,322
2020-04-18,New Jersey,81420,4070,2953,230
2020-04-19,New Jersey,85301,4202,3881,132
2020-04-20,New Jersey,88806,4377,3505,175
2020-04-21,New Jersey,92387,4753,3581,376
2020-04-22,New Jersey,95865,5063,3478,310
2020-04-23,New Jersey,99989,5368,4124,305
2020-04-24,New Jersey,102196,5617,2207,249
2020-04-25,New Jersey,105523,5863,3327,246
2020-04-26,New Jersey,109038,5938,3515,75
2020-04-27,New Jersey,111188,6044,2150,106
2020-04-28,New Jersey,113856,6442,2668,398
2020-04-29,New Jersey,116264,6770,2408,328
2020-04-30,New Jersey,118652,7228,2388,458
2020-05-01,New Jersey,121190,7538,2538,310
2020-05-02,New Jersey,123717,7742,2527,204
2020-05-03,New Jersey,126744,7871,3027,129
2020-05-04,New Jersey,128269,7910,1525,39
2020-05-05,New Jersey,130593,8244,2324,334
2020-05-06,New Jersey,131890,8549,1297,305
2020-05-07,New Jersey,133635,8801,1745,252
2020-05-08,New Jersey,135454,8952,1819,151
2020-05-09,New Jersey,137085,9116,1631,164
2020-05-10,New Jersey,138532,9255,1447,139
2020-05-11,New Jersey,139945,9310,1413,55
2020-05-12,New Jersey,140743,9508,798,198
2020-05-13,New Jersey,141560,9702,817,194
2020-05-14,New Jersey,142704,9946,1144,244
2020-05-15,New Jersey,143905,10138,1201,192
2020-05-16,New Jersey,145089,10249,1184,111
2020-05-17,New Jersey,146334,10356,1245,107
2020-05-18,New Jersey,148039,10435,1705,79
2020-05-19,New Jersey,149013,10586,974,151
2020-05-20,New Jersey,150399,10747,1386,161
2020-05-21,New Jersey,151472,10843,1073,96
2020-05-22,New Jersey,152719,10985,1247,142
2020-05-23,New Jersey,153104,11081,385,96
2020-05-24,New Jersey,154154,11133,1050,52
2020-05-25,New Jersey,155092,11144,938,11
2020-05-26,New Jersey,155764,11191,672,47
2020-05-27,New Jersey,156628,11339,864,148
2020-05-28,New Jersey,157815,11401,1187,62
2020-05-29,New Jersey,158844,11531,1029,130
2020-05-30,New Jersey,159608,11634,764,103
2020-05-31,New Jersey,160445,11698,837,64
2020-06-01,New Jersey,160918,11721,473,23
2020-06-02,New Jersey,161545,11770,627,49
2020-06-03,New Jersey,162068,11880,523,110
2020-06-04,New Jersey,162530,11970,462,90
2020-06-05,New Jersey,163336,12049,806,79
2020-06-06,New Jersey,163893,12106,557,57
2020-06-07,New Jersey,164164,12176,271,70
2020-06-08,New Jersey,164497,12214,333,38
2020-06-09,New Jersey,164796,12303,299,89
2020-06-10,New Jersey,165346,12377,550,74
2020-06-11,New Jersey,165816,12443,470,66
2020-06-12,New Jersey,166164,12489,348,46
2020-06-13,New Jersey,166605,12589,441,100
2020-06-14,New Jersey,166881,12625,276,36
2020-06-15,New Jersey,167103,12676,222,51
2020-06-16,New Jersey,167426,12727,323,51
2020-06-17,New Jersey,167703,12769,277,42
2020-06-18,New Jersey,168107,12800,404,31
2020-06-19,New Jersey,168496,12835,389,35
2020-06-20,New Jersey,168834,12857,338,22
2020-06-21,New Jersey,169142,12870,308,13
2020-06-22,New Jersey,169415,12895,273,25
2020-06-23,New Jersey,169734,12949,319,54
2020-06-24,New Jersey,169892,12995,158,46
2020-06-25,New Jersey,172050,14872,2158,1877
2020-06-26,New Jersey,172438,14914,388,42
2020-06-27,New Jersey,172727,14948,289,34
2020-06-28,New Jersey,173036,14975,309,27
2020-06-29,New Jersey,173126,14992,90,17
2020-06-30,New Jersey,173521,15035,395,43
2020-07-01,New Jersey,173782,15078,261,43
2020-07-02,New Jersey,174212,15107,430,29
2020-07-03,New Jersey,174598,15164,386,57
2020-07-04,New Jersey,174889,15189,291,25
2020-07-05,New Jersey,175258,15211,369,22
2020-07-06,New Jersey,175467,15229,209,18
2020-07-07,New Jersey,175734,15281,267,52
2020-07-08,New Jersey,175986,15423,252,142
2020-07-09,New Jersey,176217,15448,231,25
2020-07-10,New Jersey,176575,15479,358,31
2020-07-11,New Jersey,176906,15525,331,46
2020-07-12,New Jersey,177245,15525,339,0
2020-07-13,New Jersey,177469,15560,224,35
2020-07-14,New Jersey,177862,15582,393,22
2020-07-15,New Jersey,178252,15634,390,52
2020-07-16,New Jersey,178475,15665,223,31
2020-07-17,New Jersey,178525,15684,50,19
2020-07-18,New Jersey,178788,15699,263,15
2020-07-19,New Jersey,178757,15706,-31,7
2020-07-20,New Jersey,178937,15715,180,9
2020-07-21,New Jersey,179230,15737,293,22
2020-07-22,New Jersey,179565,15707,335,-30
2020-07-23,New Jersey,179807,15730,242,23
2020-07-24,New Jersey,180265,15765,458,35
2020-07-25,New Jersey,180778,15776,513,11
2020-07-26,New Jersey,181283,15787,505,11
2020-07-27,New Jersey,181732,15804,449,17
2020-07-28,New Jersey,182215,15825,483,21
2020-07-29,New Jersey,182475,15798,260,-27
2020-07-30,New Jersey,182845,15809,370,11
2020-07-31,New Jersey,183535,15819,690,10
2020-08-01,New Jersey,183904,15830,369,11
2020-08-02,New Jersey,184225,15836,321,6
2020-08-03,New Jersey,184489,15846,264,10
2020-08-04,New Jersey,184845,15857,356,11
2020-08-05,New Jersey,185180,15842,335,-15
2020-08-06,New Jersey,185554,15849,374,7
2020-08-07,New Jersey,185914,15860,360,11
2020-08-08,New Jersey,186282,15869,368,9
2020-08-09,New Jersey,186626,15874,344,5
2020-08-10,New Jersey,186884,15878,258,4
2020-08-11,New Jersey,187328,15890,444,12
2020-08-12,New Jersey,187777,15885,449,-5
2020-08-13,New Jersey,188433,15893,656,8
2020-08-14,New Jersey,189003,15903,570,10
2020-08-15,New Jersey,189281,15910,278,7
2020-08-16,New Jersey,189294,15912,13,2
2020-08-17,New Jersey,189606,15916,312,4
2020-08-18,New Jersey,189937,15925,331,9
2020-08-19,New Jersey,190256,15926,319,1
2020-08-20,New Jersey,190356,15932,100,6
2020-08-21,New Jersey,190646,15941,290,9
